hidden_neurons|method|learning_rate|max_epochs|hits|mse|write_training_results
50|gdm|0.001|200|0.617273090764|0.0765453818473|True
50|gdm|0.001|200|0.6066|0.07868|False
50|gdm|0.001|200|0.448980407837|0.110203918433|True
50|gdm|0.001|200|0.43712|0.112576|False
50|gdm|0.001|200|0.542702918832|0.0914594162335|True
50|gdm|0.001|200|0.52828|0.094344|False
50|rp|0.001|200|0.53616|0.092768|False
50|rp|0.001|200|0.54512|0.090976|False
50|rp|0.001|200|0.54348|0.091304|False
50|gdm|0.01|200|0.41924|0.116152|False
50|gdm|0.01|200|0.51028|0.097944|False
50|gdm|0.01|200|0.51272|0.097456|False
50|rp|0.01|200|0.56632|0.086736|False
50|rp|0.01|200|0.54412|0.091176|False
50|rp|0.01|200|0.56|0.088|False
